file_name,signal,testbed,service,n,n_features,train_index,first_anomaly,runs_targeting,anomaly_segments,anomaly_windows,prevalence,cooldown_windows,cooldown_mode,nan_cells,size_kb
201_OTel_id_1_WebService_tr_2574_1st_3142.csv,trace,otel-demo,checkoutservice,4583,11,2574,3142,70,64,307,0.067,350,normal,0,546.8
202_OTel_id_2_WebService_tr_2598_1st_2598.csv,trace,otel-demo,frontendproxy,4653,11,2598,2598,60,60,269,0.0578,300,normal,0,572.5
203_OTel_id_3_WebService_tr_2548_1st_4326.csv,trace,otel-demo,paymentservice,4506,11,2548,4326,10,10,50,0.0111,50,normal,0,486.1
204_OTel_id_4_WebService_tr_2577_1st_3748.csv,trace,otel-demo,productcatalogservice,4586,11,2577,3748,70,65,309,0.0674,349,normal,0,528.7
205_OTel_id_5_WebService_tr_2598_1st_4372.csv,trace,otel-demo,recommendationservice,4653,11,2598,4372,10,10,51,0.011,50,normal,0,520.8
206_OTel_id_6_WebService_tr_2330_1st_3825.csv,trace,sockshop,carts,3965,11,2330,3825,10,10,20,0.005,39,normal,0,521.8
207_OTel_id_7_WebService_tr_1442_1st_2047.csv,metrics,otel-demo,checkoutservice,3454,65,1442,2047,70,70,353,0.1022,350,normal,0,1255.0
208_OTel_id_8_WebService_tr_1442_1st_1442.csv,metrics,otel-demo,frontendproxy,3454,65,1442,1442,60,60,306,0.0886,300,normal,0,1279.9
209_OTel_id_9_WebService_tr_1442_1st_3354.csv,metrics,otel-demo,paymentservice,3454,65,1442,3354,10,10,50,0.0145,50,normal,0,1299.3
210_OTel_id_10_WebService_tr_1442_1st_2650.csv,metrics,otel-demo,productcatalogservice,3454,65,1442,2650,70,70,354,0.1025,350,normal,0,1257.9
211_OTel_id_11_WebService_tr_1442_1st_3253.csv,metrics,otel-demo,recommendationservice,3454,65,1442,3253,10,10,51,0.0148,50,normal,0,1242.2
212_OTel_id_12_WebService_tr_1442_1st_3354.csv,metrics,sockshop,carts,3454,65,1442,3354,10,10,50,0.0145,50,normal,0,1425.4
213_OTel_id_13_WebService_tr_1442_1st_2650.csv,metrics,sockshop,catalogue,3454,65,1442,2650,70,70,354,0.1025,350,normal,0,1326.0
214_OTel_id_14_WebService_tr_1442_1st_1442.csv,metrics,sockshop,front-end,3454,65,1442,1442,70,70,355,0.1028,351,normal,0,1387.0
215_OTel_id_15_WebService_tr_1442_1st_2047.csv,metrics,sockshop,orders,3454,65,1442,2047,70,70,354,0.1025,350,normal,0,1363.8
216_OTel_id_16_WebService_tr_1442_1st_2020.csv,log,otel-demo,checkoutservice,3387,5,1442,2020,70,70,313,0.0924,350,normal,0,127.3
217_OTel_id_17_WebService_tr_1442_1st_3220.csv,log,otel-demo,paymentservice,3320,5,1442,3220,10,10,50,0.0151,50,normal,0,120.3
218_OTel_id_18_WebService_tr_1442_1st_3216.csv,log,otel-demo,recommendationservice,3417,5,1442,3216,10,10,51,0.0149,50,normal,0,127.7
219_OTel_id_19_WebService_tr_1442_1st_2650.csv,log,sockshop,catalogue,3114,5,1442,2650,70,58,196,0.0629,268,normal,0,109.4
220_OTel_id_20_WebService_tr_1441_1st_1441.csv,log,sockshop,front-end,3021,5,1441,1441,70,60,220,0.0728,268,normal,0,105.7
